step,wall_us,t_min_us,t_max_us,t_mean_us,imbalance_pct,elems_min,elems_max,gflops
89,87071.9,84302.9,87055,85678.9,3.21207,10000,10000,1.75143
90,87189.2,80658.9,87163.9,83911.4,7.75224,10000,10000,1.74907
91,87346.8,80180.2,87323,83751.6,8.52854,10000,10000,1.74591
92,101408,92486.9,101390,96938.4,9.18421,10000,10000,1.50383
93,80626,80322,80611,80466.5,0.35911,10000,10000,1.89145
94,85929.9,81757.1,85913.2,83835.1,4.95748,10000,10000,1.7747
95,92640.9,83947.9,92623,88285.4,9.82619,10000,10000,1.64614
96,82465.9,82014.1,82453,82233.5,0.533759,10000,10000,1.84925
97,86896.9,82756,86880,84818,4.86209,10000,10000,1.75495
98,86897.9,85821.9,86881.9,86351.9,1.22755,10000,10000,1.75493
99,79973,79922.9,79958.9,79940.9,0.0450348,10000,10000,1.90689
100,87369,86171.2,87354.2,86762.7,1.36353,10000,10000,1.74547
101,88692.2,84924,88675,86799.5,4.3215,10000,10000,1.71943
102,87779,80537.1,87760.9,84149,8.58459,10000,10000,1.73732
103,88279,84764,88259,86511.5,4.0399,10000,10000,1.72748
104,86235,82719.1,86219.1,84469.1,4.14351,10000,10000,1.76842
105,87214.9,86365,87200.2,86782.6,0.962382,10000,10000,1.74855
106,80785,80061.9,80770,80416,0.880551,10000,10000,1.88773
107,90720.2,86952.9,90704,88828.4,4.22279,10000,10000,1.68099
108,83318.9,81251.9,83302,82276.9,2.49178,10000,10000,1.83032
109,86221,85429.9,86208.1,85819,0.90679,10000,10000,1.76871
110,88429.9,83719,87552.1,85635.5,4.47601,10000,10000,1.72453
111,96140.9,79447,96123.9,87785.5,18.9973,10000,10000,1.58621
112,85258,76942,85238,81090,10.2306,10000,10000,1.78869
113,86648.9,86434.1,86636.1,86535.1,0.233363,10000,10000,1.75998
114,80556.2,80287.9,80544,80416,0.318421,10000,10000,1.89309
115,87127,84938,87111,86024.5,2.52596,10000,10000,1.75032
116,86792.9,86482,86779.1,86630.6,0.342915,10000,10000,1.75706
117,86681.1,84446,86665.9,85555.9,2.5947,10000,10000,1.75932
118,86528.1,85584.9,86509,86046.9,1.07396,10000,10000,1.76243
119,87141,84921.8,87123.9,86022.9,2.55982,10000,10000,1.75004
120,86611,85974,86596,86285,0.720906,10000,10000,1.76075
121,80303.9,79620.8,80287.9,79954.4,0.834345,10000,10000,1.89904
122,89051,84075.9,89034.8,86555.4,5.72913,10000,10000,1.7125
123,85918.9,85365.1,85904.1,85634.6,0.629494,10000,10000,1.77493
124,86769.8,85751.1,86756,86253.5,1.16509,10000,10000,1.75752
125,88576.8,87752.1,88561.1,88156.6,0.917633,10000,10000,1.72167
126,86919.1,85910.1,86903.1,86406.6,1.14923,10000,10000,1.75451
127,91207,89747.2,91190.1,90468.6,1.59493,10000,10000,1.67202
128,88586.8,87901.1,88573,88237,0.76143,10000,10000,1.72148
129,81976.9,81910.1,81963.1,81936.6,0.0645974,10000,10000,1.86028
130,91761.8,86445.1,91737,89091.1,5.93992,10000,10000,1.66191
131,85444,83247.9,85423,84335.4,2.5791,10000,10000,1.7848
132,88906,87436,88889.1,88162.5,1.64828,10000,10000,1.71529
133,89907.9,89121.8,89891,89506.4,0.859311,10000,10000,1.69618
134,89722.9,88040.1,89708.1,88874.1,1.87679,10000,10000,1.69968
135,274190,272711,274176,273444,0.53579,10000,10000,0.556184
136,1.27283e+06,1.26921e+06,1.27282e+06,1.27102e+06,0.283323,10000,10000,0.119812
137,2.03566e+06,2.0314e+06,2.03565e+06,2.03352e+06,0.208999,10000,10000,0.0749141
138,3.036e+06,3.02165e+06,3.03597e+06,3.02881e+06,0.472663,10000,10000,0.0502306
139,2.96099e+06,2.95321e+06,2.96098e+06,2.95709e+06,0.262825,10000,10000,0.051503
140,2.98579e+06,2.95947e+06,2.98577e+06,2.97262e+06,0.884843,10000,10000,0.0510752
141,3.07818e+06,3.07549e+06,3.07816e+06,3.07683e+06,0.0868801,10000,10000,0.0495423
142,2.9566e+06,2.94583e+06,2.95658e+06,2.95121e+06,0.364292,10000,10000,0.0515795
143,2.48011e+06,2.47539e+06,2.48009e+06,2.47774e+06,0.190004,10000,10000,0.0614892
144,1.39816e+06,1.39511e+06,1.39814e+06,1.39662e+06,0.217451,10000,10000,0.109072
145,93353,89414.1,93334,91374,4.28988,10000,10000,1.63358
146,82038.9,81008,82022.9,81515.4,1.2451,10000,10000,1.85887
147,87056.9,86095.1,87040.2,86567.6,1.09174,10000,10000,1.75173
148,92599.2,91345.1,92581,91963.1,1.34398,10000,10000,1.64688
149,89127.1,82362.9,87748.1,85055.5,6.33135,10000,10000,1.71104
150,86870,83586,86852.1,85219,3.83259,10000,10000,1.7555
151,88505,85681.9,88487.9,87084.9,3.22208,10000,10000,1.72307
152,86936,85740.1,86921,86330.5,1.36787,10000,10000,1.75416
153,92997.8,89849,92981.1,91415,3.42625,10000,10000,1.63982
154,88195.1,87125.1,88034.9,87580,1.03883,10000,10000,1.72912
155,81172.9,80755.9,81159.8,80957.9,0.498878,10000,10000,1.8787
156,89804.9,87091,89784.9,88437.9,3.04608,10000,10000,1.69813
157,89969.2,88712.9,89948.2,89330.6,1.38278,10000,10000,1.69503
158,87661,85449,87644.1,86546.5,2.53635,10000,10000,1.73966
159,89319,88527.9,89302.8,88915.3,0.871459,10000,10000,1.70736
160,90319.2,84687,90282.9,87485,6.39644,10000,10000,1.68846
161,87950.9,82489,87928.1,85208.5,6.38321,10000,10000,1.73392
162,86862.1,86061,86838,86449.5,0.898798,10000,10000,1.75566
163,80895.9,79905,80882.1,80393.6,1.21532,10000,10000,1.88514
164,88247.1,85188.2,88228.9,86708.5,3.50691,10000,10000,1.7281
165,89809.9,85484,89793,87638.5,4.91672,10000,10000,1.69803
166,86900,85373.9,86884,86129,1.75335,10000,10000,1.75489
167,88904.1,85572,88887,87229.5,3.80029,10000,10000,1.71533
168,91797.1,88866.9,91779,90323,3.22404,10000,10000,1.66127
169,87033,77663.9,87016.1,82340,11.358,10000,10000,1.75221
170,87113.9,85948,87099.1,86523.5,1.33037,10000,10000,1.75058
171,88543.9,82345,88524.8,85434.9,7.23335,10000,10000,1.72231
172,84878,78791.9,80272.9,79532.4,1.86221,10000,10000,1.7967
173,89278.9,84601.9,89260.8,86931.3,5.35933,10000,10000,1.70813
174,87920.2,82688.8,87897.1,85292.9,6.10631,10000,10000,1.73453
175,87971.9,85371,87954,86662.5,2.98056,10000,10000,1.73351
